,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
918,Day One,2016,1,0,0.0,335026,tt4122886,0,0,"['Drama', 'War']",['US']
919,Day for Night,1975,3,0,0.0,0,False,False,False,False,False
920,Day for Night,1974,1,1,100.0,1675,tt0070460,0,17808,"['Comedy', 'Drama']","['FR', 'IT']"
921,Day of Battle,1944,1,0,0.0,488222,tt0185261,0,0,[],[]
922,Day of the Painter,1961,1,1,100.0,243193,tt0053753,0,0,[],[]
923,Daybreak in Udi,1950,1,1,100.0,114472,tt0041283,0,0,['Documentary'],['GB']
924,Daylight,1997,1,0,0.0,11228,tt0116040,80000000,159212469,"['Action', 'Adventure', 'Thriller']",['US']
925,Days of Glory,1945,1,0,0.0,96366,tt0036748,0,0,"['Drama', 'Romance', 'War']",['US']
926,Days of Glory (Indigènes),2007,1,0,0.0,2016,tt0444182,14500000,22963701,"['Drama', 'History', 'War']","['DZ', 'FR', 'MA', 'BE']"
927,Days of Heaven,1979,4,1,25.0,16642,tt0077405,0,0,"['Drama', 'Romance']",['US']
928,Days of Thunder,1991,1,0,0.0,2119,tt0099371,60000000,157920733,['Adventure'],['US']
929,Days of Waiting,1991,1,1,100.0,0,False,False,False,False,False
930,Days of Wine and Roses,1963,5,1,20.0,32488,tt0055895,0,0,"['Drama', 'Romance']",['US']
931,"De Tripas, Corazon",1997,1,0,0.0,244904,tt0116044,0,0,[],[]
932,Dead End,1938,4,0,0.0,27973,tt0028773,300000,0,"['Crime', 'Drama']",['US']
933,Dead Man Walking,1996,4,1,25.0,687,tt0112818,11000000,39363635,['Drama'],"['US', 'GB']"
934,Dead Poets Society,1990,4,1,25.0,207,tt0097165,16400000,235860116,['Drama'],['US']
935,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1992,1,1,100.0,244733,tt0101683,0,0,[],[]
936,Dear Diary,1997,1,1,100.0,244901,tt0116058,0,0,[],[]
937,Dear Heart,1965,1,0,0.0,101226,tt0057999,0,0,"['Comedy', 'Family']",['US']
938,Dear John,1966,1,0,0.0,0,False,False,False,False,False
939,Dear Rosie,1991,1,0,0.0,0,False,False,False,False,False
940,Death Becomes Her,1993,1,1,100.0,9374,tt0104070,55000000,149022650,"['Comedy', 'Fantasy', 'Horror']",['US']
941,Death in Venice,1972,1,0,0.0,6619,tt0067445,0,0,['Drama'],"['IT', 'FR']"
942,Death of a Salesman,1952,5,0,0.0,104394,tt0043458,0,0,['Drama'],['US']
943,Death of a Shadow (Dood van een Schaduw),2013,1,0,0.0,0,False,False,False,False,False
944,Death on the Job,1992,1,0,0.0,149397,tt0101693,0,0,[],[]
945,Death on the Nile,1979,1,1,100.0,4192,tt0077413,7920000,14560084,['Mystery'],['GB']
946,Debonair Dancers,1987,1,0,0.0,244679,tt0090921,0,0,[],[]
947,December 7th,1944,1,1,100.0,100605,tt0035790,0,0,"['History', 'War', 'Action']",[]
948,Decision before Dawn,1952,2,0,0.0,4461,tt0043459,0,0,"['War', 'Action', 'Thriller']",['US']
949,Declaration of Independence,1939,1,1,100.0,235646,tt0030046,0,0,[],[]
950,Deconstructing Harry,1998,1,0,0.0,2639,tt0118954,20000000,10686841,"['Comedy', 'Drama']",['US']
951,Dedalo,1977,1,0,0.0,0,False,False,False,False,False
952,Deep South,1938,1,0,0.0,233703,tt0028777,0,0,[],[]
953,Deep Waters,1949,1,0,0.0,36336,tt0040281,0,0,['Drama'],['US']
954,Deepwater Horizon,2017,2,0,0.0,296524,tt1860357,110000000,121790373,"['Drama', 'Action']","['HK', 'US']"
955,Defending Our Lives,1994,1,1,100.0,0,False,False,False,False,False
956,Defiance,2009,1,0,0.0,13813,tt1034303,32000000,51155219,"['Action', 'Drama', 'History', 'War']",['US']
957,Deliver Us from Evil,2007,1,0,0.0,13364,tt0814075,0,201275,"['Crime', 'Documentary']",['US']
958,Deliverance,1973,3,0,0.0,10669,tt0068473,2000000,46122355,"['Drama', 'Adventure', 'Thriller']",['US']
959,Departures,2009,1,1,100.0,16804,tt1069238,0,69932387,['Drama'],['JP']
960,Der Fuehrer's Face,1943,1,1,100.0,0,False,False,False,False,False
961,Dersu Uzala,1976,1,1,100.0,1,False,False,False,False,False
962,Desert Killer,1953,1,0,0.0,0,False,False,False,False,False
963,Desert Victory,1944,1,1,100.0,1,False,False,False,False,False
964,Desert Wonderland,1943,1,0,0.0,1,False,False,False,False,False
965,Design for Death,1948,1,1,100.0,1,False,False,False,False,False
966,Designing Woman,1958,1,1,100.0,1,False,False,False,False,False
967,Desire under the Elms,1959,1,0,0.0,1,False,False,False,False,False
968,Desiree,1955,2,0,0.0,1,False,False,False,False,False
969,Desperate Journey,1943,1,0,0.0,1,False,False,False,False,False
970,Despicable Me 2,2014,2,0,0.0,1,False,False,False,False,False
971,Destination Moon,1951,2,1,50.0,1,False,False,False,False,False
972,Destination Tokyo,1944,1,0,0.0,1,False,False,False,False,False
973,Destino,2004,1,0,0.0,1,False,False,False,False,False
974,Detective Story,1952,4,0,0.0,1,False,False,False,False,False
975,Detouring America,1940,1,0,0.0,1,False,False,False,False,False
976,Devil Take Us,1953,2,0,0.0,0,False,False,False,False,False
977,Diamonds Are Forever,1972,1,0,0.0,1,False,False,False,False,False
978,Diary of a Mad Housewife,1971,1,0,0.0,1,False,False,False,False,False
979,Dick Tracy,1991,7,3,42.857142857142854,1,False,False,False,False,False
980,Die Hard,1989,4,0,0.0,1,False,False,False,False,False
981,Die Rote Jacke (The Red Jacket),2004,1,0,0.0,0,False,False,False,False,False
982,Dillinger,1946,1,0,0.0,1,False,False,False,False,False
983,Dimanche/Sunday,2012,1,0,0.0,0,False,False,False,False,False
984,Diner,1983,1,0,0.0,1,False,False,False,False,False
985,Dirty Dancing,1988,1,1,100.0,1,False,False,False,False,False
986,Dirty Pretty Things,2004,1,0,0.0,0,False,False,False,False,False
987,Dirty Wars,2014,1,0,0.0,1,False,False,False,False,False
988,Disraeli,1931,3,1,33.333333333333336,0,False,False,False,False,False
989,District 9,2010,4,0,0.0,1,False,False,False,False,False
990,Dive Bomber,1942,2,0,0.0,65587,tt0033537,0,0,['Drama'],['US']
991,Dive-Hi Champs,1947,1,0,0.0,240411,tt0038483,0,0,[],[]
992,Divided We Fall,2001,1,0,0.0,29937,tt0234288,0,0,"['Comedy', 'Drama', 'Family', 'War']",['CZ']
993,Divorce American Style,1968,1,0,0.0,102057,tt0061581,0,0,['Comedy'],['US']
994,Divorce--Italian Style,1963,3,1,33.333333333333336,0,False,False,False,False,False
995,Django Unchained,2013,5,2,40.0,68718,tt1853728,100000000,425368238,"['Drama', 'Western']",['US']
996,Do the Right Thing,1990,2,0,0.0,925,tt0097216,6500000,37295445,['Drama'],['US']
997,Doctor De Soto,1985,1,0,0.0,0,False,False,False,False,False
998,Doctor Dolittle,1968,9,2,22.222222222222218,16081,tt0061584,18000000,9000000,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Music']",['US']
999,Doctor Strange,2017,1,0,0.0,284052,tt1211837,166000000,677718395,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",['US']
1000,Doctor Zhivago,1966,10,5,50.0,907,tt0059113,11000000,111858363,"['Drama', 'Romance', 'War']","['IT', 'US']"
1001,Dodes'ka-Den,1972,1,0,0.0,0,False,False,False,False,False
1002,Dodsworth,1937,7,1,14.285714285714285,31507,tt0027532,0,0,"['Drama', 'Romance']",['US']
1003,Dog Day Afternoon,1976,6,1,16.666666666666668,968,tt0072890,1800000,46665856,"['Crime', 'Drama', 'Thriller']",['US']
1004,"Dog, Cat and Canary",1945,1,0,0.0,0,False,False,False,False,False
1005,Dogtooth,2011,1,0,0.0,0,False,False,False,False,False
1006,Doing Time: Life inside the Big House,1992,1,0,0.0,149398,tt0101749,0,0,['Documentary'],[]
1007,Dolphins,2001,1,0,0.0,19356,tt0263278,0,0,['Documentary'],['US']
1008,Don Juan DeMarco,1996,1,0,0.0,0,False,False,False,False,False
1009,Don't,1975,1,1,100.0,0,False,False,False,False,False
1010,Don't Mess with Bill,1981,1,0,0.0,244376,tt0080647,0,0,[],[]
1011,Don't Talk,1943,1,0,0.0,131801,tt0034666,0,0,[],['US']
1012,Don't Tell,2006,1,0,0.0,18219,tt0443446,0,0,"['Drama', 'Foreign']",['IT']
1013,Donald in Mathmagic Land,1960,1,0,0.0,19715,tt0052751,0,0,"['Comedy', 'Animation', 'Fantasy']",['US']
1014,Donald's Crime,1946,1,0,0.0,55354,tt0037657,0,0,['Animation'],['US']
1015,Donnie Brasco,1998,1,0,0.0,9366,tt0119008,35000000,41954997,"['Crime', 'Drama', 'Thriller']",['US']
1016,Double Feature,1985,1,0,0.0,202787,tt0088090,0,0,['Drama'],['ES']
1017,Double Indemnity,1945,7,0,0.0,996,tt0036775,927262,2500000,"['Crime', 'Drama', 'Mystery', 'Thriller']",['US']
1018,Double or Nothing,1937,1,0,0.0,233684,tt0342147,0,0,[],[]
1019,Doubletalk,1976,1,0,0.0,243406,tt0072900,0,0,[],[]
1020,Doubt,2009,5,0,0.0,14359,tt0918927,20000000,50907234,"['Drama', 'Mystery']",['US']
1021,Down Argentine Way,1941,3,0,0.0,43810,tt0032410,0,0,"['Comedy', 'Drama', 'Music', 'Romance']",['US']
1022,Down and Out in America,1987,1,1,100.0,114522,tt0090965,0,0,['Documentary'],['US']
1023,Down on the Farm,1942,1,0,0.0,236812,tt0033552,0,0,[],[]
1024,Down on the Waterfront,1994,1,0,0.0,244858,tt0106766,0,0,[],[]
1025,Downfall,2005,1,0,0.0,613,tt0363163,18339750,92180910,"['Drama', 'History', 'War']","['AT', 'DE', 'IT']"
1026,Dr. Cyclops,1941,1,0,0.0,3593,tt0032412,0,0,"['Adventure', 'Horror', 'Science Fiction']",['US']
1027,Dr. Ehrlich's Magic Bullet,1941,1,0,0.0,88192,tt0032413,0,0,"['Drama', 'History']",['US']
1028,Dr. Jekyll and Mr. Hyde,1942,3,0,0.0,3022,tt0033553,0,0,"['Drama', 'Horror', 'Science Fiction']",['US']
1029,Dr. Jekyll and Mr. Hyde,1933,3,1,33.333333333333336,0,False,False,False,False,False
1030,Dr. Jekyll and Mr. Mouse,1948,1,0,0.0,39921,tt0039338,0,0,['Animation'],['US']
1031,Dr. Seuss' How the Grinch Stole Christmas,2001,3,1,33.333333333333336,8871,tt0170016,123000000,345141403,"['Family', 'Comedy', 'Fantasy']","['DE', 'US']"
1032,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,4,0,0.0,935,tt0057012,1800000,9440272,"['Drama', 'Comedy', 'War']","['GB', 'US']"
1033,Drag;,1930,1,0,0.0,116269,tt0019833,0,0,['Drama'],['US']
1034,Dragon Seed,1945,2,0,0.0,123665,tt0036777,0,0,['Drama'],['US']
1035,Dragonheart,1997,1,0,0.0,8840,tt0116136,57000000,115267375,['Fantasy'],['US']
1036,Dragonslayer,1982,2,0,0.0,848,tt0082288,18000000,14110013,['Fantasy'],['GB']
1037,Dream Doll,1980,1,0,0.0,220987,tt0079079,0,0,['Animation'],"['CA', 'HR']"
1038,Dream Wife,1954,1,0,0.0,52365,tt0045706,0,0,"['Comedy', 'Romance']",['US']
1039,Dreamgirls,2007,8,2,25.0,1125,tt0443489,70000000,154937680,['Drama'],['US']
1040,Drive,2012,1,0,0.0,64690,tt0780504,15000000,78054825,"['Drama', 'Action', 'Thriller', 'Crime']",['US']
1041,Driving Miss Daisy,1990,9,4,44.444444444444436,403,tt0097239,7500000,145793296,"['Comedy', 'Drama']",['US']
1042,Drums along the Mohawk,1940,2,0,0.0,73194,tt0031252,0,0,"['Romance', 'Drama', 'History', 'War', 'Western']",['US']
1043,Drunk Driving,1940,1,0,0.0,235654,tt0031253,0,0,[],[]
1044,Duel in the Sun,1947,2,0,0.0,32275,tt0038499,6000000,20400000,['Western'],['US']
1045,Duke of Groove,1996,1,0,0.0,0,False,False,False,False,False
1046,Dumbo,1942,2,1,50.0,11360,tt0033563,812000,1600000,"['Animation', 'Family']",['US']
1047,Dummy Ache,1937,1,0,0.0,233686,tt0027556,0,0,[],[]
1048,Dune,1985,1,0,0.0,841,tt0087182,40000000,30925690,"['Action', 'Science Fiction', 'Adventure']",['US']
1049,Duo,1969,1,0,0.0,488234,tt2931324,0,0,[],[]
1050,Dust of Life,1996,1,0,0.0,124617,tt0110880,0,0,"['Drama', 'Foreign']",[]
1051,Dylan Thomas,1963,1,1,100.0,0,False,False,False,False,False
1052,Dynamite,1930,1,0,0.0,173580,tt0019843,0,0,['Drama'],['US']
1053,E.T. The Extra-Terrestrial,1983,9,4,44.444444444444436,601,tt0083866,10500000,792965326,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']",['US']
1054,Earl Carroll Vanities,1946,1,0,0.0,217169,tt0037664,0,0,"['Romance', 'Music']",['US']
1055,Earthquake,1975,5,2,40.0,11123,tt0071455,7000000,79666653,"['Action', 'Drama', 'Thriller']",['US']
1056,East Lynne,1932,1,0,0.0,84277,tt0021826,0,0,['Drama'],['US']
1057,East of Eden,1956,4,1,25.0,220,tt0048028,1,5,['Drama'],['US']
1058,East-West,2000,1,0,0.0,28463,tt0181530,0,0,['Drama'],"['BG', 'ES', 'FR', 'RU']"
1059,Easter Parade,1949,1,1,100.0,29380,tt0040308,0,0,"['Comedy', 'Drama', 'Music', 'Romance']",['US']
1060,Eastern Promises,2008,1,0,0.0,2252,tt0765443,51500000,55112356,"['Thriller', 'Crime', 'Mystery']","['GB', 'US', 'CA']"
1061,Easy Rider,1970,2,0,0.0,624,tt0064276,360000,0,"['Adventure', 'Drama']",['US']
1062,Eat Drink Man Woman,1995,1,0,0.0,10451,tt0111797,0,7294403,"['Comedy', 'Drama', 'Romance']","['TW', 'US']"
1063,Ed Wood,1995,2,2,100.0,522,tt0109707,18000000,5887457,"['Comedy', 'Drama', 'History']",['US']
1064,"Edison, the Man",1941,1,0,0.0,43811,tt0032432,0,0,"['History', 'Drama']",['US']
1065,Educated Fish,1938,1,0,0.0,205251,tt0028819,0,0,[],[]
1066,Educating Peter,1993,1,1,100.0,244749,tt0104167,0,0,[],[]
1067,Educating Rita,1984,3,0,0.0,38291,tt0085478,0,0,"['Drama', 'Comedy', 'Romance']",['GB']
1068,Edward Scissorhands,1991,1,0,0.0,162,tt0099487,20000000,53000000,"['Fantasy', 'Drama', 'Romance']",['US']
1069,"Edward, My Son",1950,1,0,0.0,94959,tt0041329,0,0,['Drama'],['US']
1070,Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1982,1,0,0.0,149366,tt0082312,0,0,['Documentary'],[]
1071,El Amor Brujo,1968,1,0,0.0,202771,tt0061350,0,0,[],[]
1072,El Cid,1962,3,0,0.0,16638,tt0054847,0,0,"['Action', 'Drama', 'History', 'Romance', 'War']","['IT', 'US']"
1073,El Crimen del Padre Amaro,2003,1,0,0.0,542,tt0313196,1800000,0,"['Drama', 'Romance']",['MX']
1074,El Norte,1985,1,0,0.0,0,False,False,False,False,False
1075,El Salvador: Another Vietnam,1982,1,0,0.0,149367,tt0082315,0,0,['Documentary'],[]
1076,Election,2000,1,0,0.0,9451,tt0126886,0,0,['Comedy'],['US']
1077,Election Night (Valgaften),1999,1,1,100.0,0,False,False,False,False,False
1078,Electra,1963,1,0,0.0,0,False,False,False,False,False
1079,Elizabeth,1999,7,1,14.285714285714285,4518,tt0127536,30000000,82150642,"['Drama', 'History']",['US']
1080,Elizabeth: The Golden Age,2008,2,1,50.0,4517,tt0414055,55000000,74237563,"['Drama', 'History', 'Romance']",['GB']
1081,Elle,2017,1,0,0.0,337674,tt3716530,9804690,2341534,"['Drama', 'Thriller']","['BE', 'FR', 'DE']"
1082,Elling,2002,1,0,0.0,6007,tt0279064,0,0,"['Comedy', 'Drama']",['NO']
1083,Elmer Gantry,1961,5,3,60.0,22013,tt0053793,3000000,10400000,['Drama'],['US']
1084,Embrace of the Serpent,2016,1,0,0.0,336808,tt4285496,1400000,1320005,"['Adventure', 'Drama']","['AR', 'CO', 'VE']"
1085,Emma,1933,1,0,0.0,104221,tt0022854,0,0,"['Drama', 'Comedy', 'Romance']",['US']
1086,Emma,1997,2,1,50.0,0,False,False,False,False,False
1087,Empire of the Sun,1988,6,0,0.0,10110,tt0092965,35000000,22238696,"['Drama', 'History', 'War']",['US']
1088,Employees Only,1959,1,0,0.0,243180,tt0051578,0,0,[],[]
1089,Enchanted,2008,3,0,0.0,4523,tt0461770,85000000,340487652,"['Comedy', 'Family', 'Fantasy', 'Romance']",['US']
1090,Enchanted April,1993,3,0,0.0,0,False,False,False,False,False
1091,Encounters at the End of the World,2009,1,0,0.0,0,False,False,False,False,False
1092,Endless Love,1982,1,0,0.0,19114,tt0082329,0,32492674,"['Romance', 'Drama']",['US']
1093,"Enemies, A Love Story",1990,3,0,0.0,116014,tt0097276,0,7754571,"['Comedy', 'Drama', 'Romance']","['CA', 'US']"
1094,Ennemis Intérieurs,2017,1,0,0.0,427413,tt5467670,0,0,['Drama'],['FR']
1095,Enron: The Smartest Guys in the Room,2006,1,0,0.0,13020,tt1016268,0,0,['Documentary'],['US']
1096,Entre Nous,1984,1,0,0.0,42108,tt0085370,0,0,"['Drama', 'War']",['FR']
1097,Equus,1978,3,0,0.0,37258,tt0075995,0,0,"['Drama', 'Mystery']","['GB', 'US']"
1098,Eraser,1997,1,0,0.0,9268,tt0116213,100000000,242295562,"['Action', 'Drama', 'Mystery', 'Thriller']","['CA', 'US']"
1099,Erin Brockovich,2001,5,1,20.0,462,tt0195685,52000000,256271286,['Drama'],['US']
1100,Ernest & Celestine,2014,1,0,0.0,215062,tt2988802,0,0,['Documentary'],[]
1101,Ernst & Lyset,1997,1,0,0.0,210822,tt0116214,0,0,[],['DK']
1102,Ersatz (The Substitute),1962,1,1,100.0,128960,tt0054854,0,0,"['Comedy', 'Animation']",['HR']
1103,Escape Me Never,1936,1,0,0.0,192980,tt0026320,0,0,['Drama'],['GB']
1104,Eskimo,1935,1,1,100.0,0,False,False,False,False,False
1105,Esposados,1997,1,0,0.0,186701,tt0116233,0,0,[],['ES']
1106,Eternal Sunshine of the Spotless Mind,2005,2,1,50.0,38,tt0338013,20000000,72258126,"['Science Fiction', 'Drama', 'Romance']",['US']
1107,Eternally Yours,1940,1,0,0.0,76382,tt0031282,0,0,"['Drama', 'Comedy', 'Romance']",[]
1108,Europa Europa,1992,1,0,0.0,0,False,False,False,False,False
1109,Every Child,1980,1,1,100.0,48274,tt0079126,0,0,"['Comedy', 'Animation']",['CA']
1110,Every Day's a Holiday,1938,1,0,0.0,131773,tt0028843,0,0,['Comedy'],['US']
1111,Everybody Famous!,2001,1,0,0.0,58886,tt0209037,0,0,"['Comedy', 'Foreign']",['BE']
1112,Everything Will Be Okay (Alles Wird Gut),2016,1,0,0.0,0,False,False,False,False,False
1113,Everything in This Country Must,2005,1,0,0.0,245004,tt0443499,0,0,[],[]
1114,Evil,2004,1,0,0.0,11197,tt0338309,0,0,['Drama'],"['DK', 'SE']"
1115,Evita,1997,5,1,20.0,8818,tt0116250,55000000,141047179,"['History', 'Drama', 'Music']","['US', 'HU']"
1116,Evolution,1972,1,0,0.0,185412,tt0067073,0,0,['Animation'],[]
1117,Ex Machina,2016,2,1,50.0,264660,tt0470752,15000000,36869414,"['Drama', 'Science Fiction']",['GB']
1118,Excalibur,1982,1,0,0.0,11527,tt0082348,11000000,34967437,"['Adventure', 'Fantasy']","['GB', 'US']"
1119,Executive Suite,1955,4,0,0.0,43336,tt0046963,0,0,['Drama'],['US']
1120,Exit,1987,1,0,0.0,0,False,False,False,False,False
1121,Exit through the Gift Shop,2011,1,0,0.0,39452,tt1587707,0,4790751,['Documentary'],"['GB', 'US']"
1122,Exodus,1961,3,1,33.333333333333336,1941,tt0053804,4000000,21750000,"['Action', 'Drama', 'History', 'War']",['US']
1123,Experiment Perilous,1946,1,0,0.0,0,False,False,False,False,False
1124,Exploratorium,1975,1,0,0.0,243398,tt0071480,0,0,[],[]
1125,Extremely Loud & Incredibly Close,2012,2,0,0.0,64685,tt0477302,40000000,55247881,['Drama'],['US']
1126,Extremis,2017,1,0,0.0,393443,tt5538078,0,0,['Documentary'],[]
1127,Eyes of the Navy,1941,1,0,0.0,130363,tt0032449,0,0,[],['US']
1128,Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,1988,1,0,0.0,0,False,False,False,False,False
1129,Eyewitness,2000,1,0,0.0,244951,tt0239379,0,0,[],[]
1130,Face to Face,1977,2,0,0.0,29454,tt0074147,0,0,"['Drama', 'Fantasy']","['IT', 'SE']"
1131,Face/Off,1998,1,0,0.0,754,tt0119094,80000000,245676146,"['Action', 'Crime', 'Science Fiction', 'Thriller']",['US']
1132,Faces,1969,3,0,0.0,753,tt0062952,275000,0,['Drama'],['US']
1133,Facing Fear,2014,1,0,0.0,249719,tt2776636,0,0,[],[]
1134,Facing Your Danger,1947,1,1,100.0,240410,tt0038515,0,0,[],[]
1135,Fait D'Hiver,2003,1,0,0.0,121966,tt0281850,0,0,[],[]
1136,Fall Line,1981,1,0,0.0,0,False,False,False,False,False
1137,Fame,1981,6,2,33.333333333333336,3537,tt0080716,0,21202829,['Drama'],['US']
1138,Family Gathering,1989,1,0,0.0,244702,tt3294916,0,0,['Documentary'],[]
1139,Famous Fred,1998,1,0,0.0,0,False,False,False,False,False
1140,Fanny,1962,5,0,0.0,84050,tt0054866,0,0,"['Drama', 'Romance']",['US']
1141,Fanny & Alexander,1984,6,4,66.66666666666667,58843,tt0087237,0,0,"['Romance', 'Drama', 'Comedy']","['GB', 'DE']"
1142,Fantastic Beasts and Where to Find Them,2017,2,1,50.0,259316,tt3183660,180000000,809342332,"['Adventure', 'Family', 'Fantasy']",['GB']
1143,Fantastic Mr. Fox,2010,2,0,0.0,10315,tt0432283,40000000,46471023,"['Adventure', 'Animation', 'Comedy', 'Family']",['US']
1144,Fantastic Voyage,1967,5,2,40.0,2161,tt0060397,5115000,12000000,"['Adventure', 'Science Fiction']",['US']
1145,Far from Heaven,2003,4,0,0.0,10712,tt0297884,13500000,29027914,"['Drama', 'Romance']",['US']
1146,Far from the Madding Crowd,1968,1,0,0.0,3469,tt0061648,0,0,"['Drama', 'Romance']",['GB']
1147,Farewell My Concubine,1994,2,0,0.0,10997,tt0106332,0,0,['Drama'],"['CN', 'HK']"
1148,"Farewell, My Lovely",1976,1,0,0.0,1835,tt0072973,2500000,2000000,"['Crime', 'Mystery', 'Thriller']",['US']
1149,Fargo,1997,7,2,28.57142857142857,275,tt0116282,7000000,60611975,"['Crime', 'Drama', 'Thriller']",['US']
1150,Farinelli: Il Castrato,1995,1,0,0.0,10954,tt0109771,0,0,"['History', 'Drama']","['BE', 'FR', 'IT']"
1151,Fat City,1973,1,0,0.0,16993,tt0068575,0,0,['Drama'],['US']
1152,Fatal Attraction,1988,6,0,0.0,10998,tt0093010,14000000,320145693,"['Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",['US']
1153,Fate Is the Hunter,1965,1,0,0.0,102286,tt0058091,0,0,['Drama'],[]
1154,Father Goose,1965,3,1,33.333333333333336,30295,tt0058092,0,0,"['Adventure', 'Comedy', 'Romance']",['US']
1155,Father and Daughter,2001,1,1,100.0,48617,tt0279079,0,0,"['Animation', 'Drama']","['BE', 'NL', 'GB']"
1156,Father of the Bride,1951,3,0,0.0,20758,tt0042451,0,0,"['Comedy', 'Drama', 'Family', 'Romance']",['US']
1157,Fearless,1994,1,0,0.0,10443,tt0106881,0,0,['Drama'],['US']
1158,Feast,2015,1,1,100.0,293299,tt3689498,0,0,"['Animation', 'Comedy', 'Drama', 'Family']",['US']
1159,Federico Fellini's 8-1/2,1964,5,2,40.0,422,tt0056801,0,0,"['Fantasy', 'Drama']","['IT', 'FR']"
1160,Fellini Satyricon,1971,1,0,0.0,0,False,False,False,False,False
1161,Fellini's Casanova,1977,2,1,50.0,42236,tt0074291,0,0,"['Drama', 'History', 'Romance']","['IT', 'US']"
1162,Fences,2017,4,1,25.0,393457,tt2671706,24000000,64414761,['Drama'],['US']
1163,Feral,2014,1,0,0.0,457525,tt3607256,0,0,['Horror'],['US']
1164,Ferdinand the Bull,1939,1,1,100.0,47166,tt0030128,66260,0,['Animation'],['US']
1165,Ferry Tales,2004,1,0,0.0,245000,tt0363607,0,0,[],[]
1166,Festival,1968,1,0,0.0,16247,tt0061658,0,0,"['Music', 'Documentary']",['US']
1167,Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program,1996,1,0,0.0,124632,tt0117669,0,0,"['Documentary', 'Family']",[]
1168,Fiddler on the Roof,1972,8,3,37.5,14811,tt0067093,9000000,83304330,"['Drama', 'Romance']",['US']
1169,Field of Dreams,1990,3,0,0.0,2323,tt0097351,0,84431625,"['Drama', 'Fantasy']",['US']
1170,Fiesta,1948,1,0,0.0,43968,tt0039377,0,0,"['Drama', 'Music', 'Romance']",['US']
1171,Fifty Percent Grey,2002,1,0,0.0,85358,tt0303336,0,0,"['Comedy', 'Animation', 'Science Fiction']",[]
1172,Fifty Shades of Grey,2016,1,0,0.0,216015,tt2322441,40000000,571006128,"['Drama', 'Romance', 'Thriller']",['US']
1173,Fight Club,2000,1,0,0.0,550,tt0137523,63000000,100853753,['Drama'],"['DE', 'US']"
1174,Fight of the Wild Stallions,1948,1,0,0.0,240425,tt0039379,0,0,[],[]
1175,Fighting for Our Lives,1976,1,0,0.0,149340,tt0072982,0,0,['Documentary'],['US']
1176,Finding Nemo,2004,4,1,25.0,12,tt0266543,94000000,940335536,"['Animation', 'Family']",['US']
1177,Finding Neverland,2005,7,1,14.285714285714285,866,tt0308644,25000000,116766556,['Drama'],"['GB', 'US']"
1178,Finding Vivian Maier,2015,1,0,0.0,169607,tt2714900,0,1503616,['Documentary'],['US']
1179,"Fine Food, Fine Pastries, Open 6 to 9",1990,1,0,0.0,244714,tt0097356,0,0,[],[]
1180,Finian's Rainbow,1969,2,0,0.0,42622,tt0062974,0,0,"['Music', 'Romance', 'Family', 'Fantasy']",['US']
1181,Fire at Sea,2017,1,0,0.0,377151,tt3652526,0,0,['Documentary'],"['FR', 'IT']"
1182,Fires of Kuwait,1993,1,0,0.0,26601,tt0104275,0,0,['Documentary'],['KW']
1183,First Contact,1984,1,0,0.0,136671,tt0085544,0,0,[],[]
1184,First Edition,1978,1,0,0.0,243609,tt0076032,0,0,[],[]
1185,First Love,1971,1,0,0.0,0,False,False,False,False,False
1186,First Love,1940,3,0,0.0,61645,tt0031311,0,0,"['Comedy', 'Romance']",['US']
1187,First Steps,1948,1,1,100.0,240435,tt0039384,0,0,[],[]
1188,First Winter,1982,1,0,0.0,0,False,False,False,False,False
1189,Fish Fry,1945,1,0,0.0,220665,tt0036829,0,0,['Animation'],['US']
1190,Five Easy Pieces,1971,4,0,0.0,26617,tt0065724,0,0,['Drama'],['US']
1191,Five Fingers,1953,2,0,0.0,59087,tt0044314,0,0,['Drama'],['US']
1192,Five Graves to Cairo,1944,3,0,0.0,60216,tt0035884,855000,1200000,"['Thriller', 'War']",['US']
1193,Five Star Final,1933,1,0,0.0,0,False,False,False,False,False
1194,Five Times Five,1940,1,0,0.0,235656,tt0031316,0,0,[],[]
1195,Flags of Our Fathers,2007,2,0,0.0,3683,tt0418689,90000000,65900249,"['War', 'Drama', 'History']",['US']
1196,Flame of Barbary Coast,1946,2,0,0.0,40716,tt0037702,0,0,"['Romance', 'Western']",['US']
1197,Flamenco at 5:15,1984,1,1,100.0,244449,tt0085548,0,0,"['Documentary', 'Music']",['CA']
1198,Flashdance,1984,4,1,25.0,535,tt0085549,4000000,92921203,"['Drama', 'Music', 'Romance']",['US']
1199,Flat Top,1953,1,0,0.0,71243,tt0044621,0,0,"['Drama', 'Action', 'War']",['US']
