,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
61,A Damsel in Distress,1938,2,1,50.0,66473,tt0028757,0,0,"['Comedy', 'Music', 'Romance']",['US']
62,A Day at the Races,1938,1,0,0.0,11939,tt0028772,0,0,['Comedy'],['US']
63,A Day in the Life of Bonnie Consolo,1976,1,0,0.0,243405,tt0072847,0,0,['Documentary'],[]
64,A Different Approach,1979,1,0,0.0,243617,tt0077434,0,0,[],[]
65,A Double Life,1948,4,2,50.0,41206,tt0039335,0,0,"['Drama', 'Thriller', 'Crime']",['US']
66,A Dry White Season,1990,1,0,0.0,32075,tt0097243,0,0,"['Drama', 'Mystery']",['US']
67,A Farewell to Arms,1934,4,2,50.0,0,False,False,False,False,False
68,A Farewell to Arms,1958,1,0,0.0,80255,tt0050379,4100000,20000000,"['Romance', 'Drama', 'War']",[]
69,A Few Good Men,1993,4,0,0.0,881,tt0104257,40000000,243240178,['Drama'],['US']
70,A Few Notes on Our Food Problem,1969,1,0,0.0,149310,tt0062968,0,0,[],[]
71,A Fish Called Wanda,1989,3,1,33.333333333333336,623,tt0095159,7500000,62493712,"['Comedy', 'Crime']","['GB', 'US']"
72,A Foreign Affair,1949,2,0,0.0,61650,tt0040367,1500000,0,"['Comedy', 'Drama', 'Romance']",['US']
73,A Free Soul,1932,3,1,33.333333333333336,50600,tt0021885,0,0,"['Crime', 'Drama', 'Romance']",['US']
74,A Funny Thing Happened on the Way to the Forum,1967,1,1,100.0,17768,tt0060438,0,0,"['Comedy', 'Music']","['GB', 'US']"
75,A Gathering of Eagles,1964,1,0,0.0,124058,tt0057090,0,0,"['Drama', 'Romance']",['US']
76,A Girl in the River: The Price of Forgiveness,2016,1,1,100.0,369364,tt5144072,0,0,['Documentary'],['PK']
77,A Grand Day Out,1991,1,0,0.0,530,tt0104361,0,0,"['Adventure', 'Animation', 'Comedy', 'Science Fiction', 'Family']",['GB']
78,A Great Day in Harlem,1995,1,0,0.0,124472,tt0109934,0,0,[],[]
79,A Greek Tragedy,1987,1,1,100.0,0,False,False,False,False,False
80,A Gun in His Hand,1946,1,0,0.0,130357,tt0037758,0,0,[],['US']
81,A Guy Named Joe,1945,1,0,0.0,43306,tt0035959,2627000,5363000,"['Drama', 'Romance', 'War']",['US']
82,A Handful of Dust,1989,1,0,0.0,46021,tt0095274,0,0,"['Romance', 'Drama']",[]
83,A Hard Day's Night,1965,2,0,0.0,704,tt0058182,560000,12299668,"['Comedy', 'Music']",['GB']
84,A Hatful of Rain,1958,1,0,0.0,37086,tt0050487,0,0,['Drama'],['US']
85,A History of Violence,2006,2,0,0.0,59,tt0399146,32000000,60740827,"['Drama', 'Thriller', 'Crime']","['US', 'CA', 'DE']"
86,A Hole in the Head,1960,1,1,100.0,33725,tt0052896,0,0,"['Comedy', 'Music']",['US']
87,A House Is Not a Home,1965,1,0,0.0,216661,tt0058209,0,0,['Drama'],[]
88,A Jury of Her Peers,1981,1,0,0.0,244372,tt0080974,0,0,[],[]
89,A King's Story,1968,1,0,0.0,0,False,False,False,False,False
90,A Letter to Three Wives,1950,3,2,66.66666666666667,45578,tt0041587,0,0,"['Drama', 'Romance']",['US']
91,A Little Night Music,1978,2,1,50.0,77078,tt0076319,0,0,"['Comedy', 'Music', 'Romance']","['AT', 'DE', 'US']"
92,A Little Princess,1996,2,0,0.0,19101,tt0113670,17000000,0,"['Drama', 'Family', 'Fantasy']",['US']
93,A Little Romance,1980,2,1,50.0,20813,tt0079477,0,0,"['Comedy', 'Drama', 'Family', 'Romance']","['FR', 'IT']"
94,A Little Vicious,1992,1,0,0.0,244735,tt0102320,0,0,[],[]
95,A Long Way from Nowhere,1971,1,0,0.0,243345,tt0065998,0,0,[],[]
96,A Majority of One,1962,1,0,0.0,158800,tt0055124,0,0,"['Comedy', 'Family', 'Drama']",['US']
97,A Man Called Ove,2017,2,0,0.0,0,False,False,False,False,False
98,A Man Called Peter,1956,1,0,0.0,45136,tt0048337,0,0,"['Drama', 'Family']",['US']
99,A Man Thing (Meska Sprawa),2002,1,0,0.0,0,False,False,False,False,False
100,A Man and a Woman,1967,4,2,50.0,42726,tt0061138,0,0,"['Drama', 'Romance']",['FR']
101,A Man for All Seasons,1967,8,6,75.0,874,tt0060665,3900000,28350000,"['Drama', 'History']",['GB']
102,A Matter of Loaf and Death,2010,1,0,0.0,0,False,False,False,False,False
103,A Medal for Benny,1946,2,0,0.0,114077,tt0037906,0,0,['Drama'],['US']
104,A Midsummer Night's Dream,1936,4,2,50.0,19075,tt0026714,0,0,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",['US']
105,A Mighty Wind,2004,1,0,0.0,13370,tt0310281,6000000,18750246,"['Comedy', 'Music']",['US']
106,A Morning Stroll,2012,1,0,0.0,91516,tt1964446,0,0,[],[]
107,A New Kind of Love,1964,2,0,0.0,42798,tt0057360,0,0,"['Comedy', 'Romance']",['US']
108,A Night at the Movies,1938,1,0,0.0,208527,tt0029311,0,0,['Comedy'],[]
109,A Note of Triumph: The Golden Age of Norman Corwin,2006,1,1,100.0,245013,tt0491795,0,0,[],[]
110,A Passage to India,1985,11,2,18.181818181818183,15927,tt0087892,8000000,27187653,"['Drama', 'Adventure', 'History']","['GB', 'US']"
111,A Patch of Blue,1966,5,1,20.0,33364,tt0059573,800000,6792000,"['Drama', 'Romance']",['US']
112,A Place in the Land,1999,1,0,0.0,244938,tt0189009,0,0,[],[]
113,A Place in the Sun,1952,9,6,66.66666666666667,25673,tt0043924,0,0,"['Drama', 'Romance']",['US']
114,A Place in the Sun,1961,1,0,0.0,0,False,False,False,False,False
115,A Place in the World,1993,1,0,0.0,32635,tt0104774,0,0,"['Action', 'Drama']","['AR', 'ES', 'UY']"
116,A Place to Live,1942,1,0,0.0,236821,tt1847530,0,0,['Documentary'],[]
117,A Place to Stand,1968,2,1,50.0,243307,tt0062131,0,0,[],[]
118,A Portrait of Giselle,1983,1,0,0.0,149368,tt0084524,0,0,['Documentary'],[]
119,A Preferred List,1934,1,0,0.0,233642,tt0024467,0,0,[],[]
120,A Prophet,2010,1,0,0.0,21575,tt1235166,13000000,0,"['Crime', 'Drama']","['FR', 'IT']"
121,A Queen Is Crowned,1954,1,0,0.0,149259,tt0046222,0,0,['Documentary'],['GB']
122,A Rage to Live,1966,1,0,0.0,104759,tt0059630,0,0,"['Drama', 'Romance']",['US']
123,A River Runs through It,1993,3,1,33.333333333333336,293,tt0105265,0,43440294,['Drama'],['US']
124,A Room with a View,1987,8,3,37.5,0,False,False,False,False,False
125,A Royal Affair,2013,1,0,0.0,88273,tt1276419,8000000,7594693,"['Drama', 'History', 'Romance']","['CZ', 'DK', 'DE', 'SE']"
126,A Separation,2012,2,1,50.0,60243,tt1832382,500000,24426169,['Drama'],['IR']
127,A Serious Man,2010,2,0,0.0,12573,tt1019452,7000000,31430334,"['Comedy', 'Drama']","['US', 'GB', 'FR']"
128,A Ship Comes In,1929,1,0,0.0,104212,tt0018389,0,0,['Drama'],['US']
129,A Ship Is Born,1943,1,0,0.0,236857,tt0035321,0,0,[],[]
130,A Shocking Accident,1983,1,1,100.0,244404,tt0084672,0,0,[],[]
131,A Simple Plan,1999,2,0,0.0,10223,tt0120324,30000000,16316273,"['Crime', 'Thriller']",['US']
132,A Simple Story,1980,1,0,0.0,0,False,False,False,False,False
133,A Single Life,2015,1,0,0.0,289280,tt3838700,0,0,['Animation'],['NL']
134,A Single Man,2010,1,0,0.0,34653,tt1315981,7000000,24964890,"['Drama', 'Romance']",['US']
135,A Soccer Story (Uma Historia de Futebol),2001,1,0,0.0,0,False,False,False,False,False
136,A Soldier's Story,1985,3,0,0.0,26522,tt0088146,6000000,21821347,"['Drama', 'Mystery', 'War']",['US']
137,A Song to Remember,1946,6,0,0.0,119764,tt0038104,0,0,"['Music', 'Drama']",['US']
138,A Space to Grow,1969,1,0,0.0,243326,tt0063632,0,0,[],[]
139,A Special Day,1978,2,0,0.0,42229,tt0076085,0,110,"['Drama', 'War', 'Romance']","['IT', 'CA']"
140,A Sport Is Born,1961,1,0,0.0,243194,tt0054335,0,0,[],[]
141,A Star Is Born,1938,7,1,14.285714285714285,22692,tt0029606,0,0,['Drama'],['US']
142,A Star Is Born,1955,6,0,0.0,3111,tt0047522,5019770,0,"['Drama', 'Music', 'Romance']",['US']
143,A Star Is Born,1977,4,1,25.0,19610,tt0075265,6000000,80000000,"['Drama', 'Music', 'Romance']",['US']
144,A Stitch for Time,1988,1,0,0.0,149387,tt0094042,0,0,[],[]
145,A Stolen Life,1947,1,0,0.0,43470,tt0038984,0,0,['Drama'],['US']
146,A Story of Healing,1998,1,1,100.0,244919,tt0141858,0,0,[],[]
147,A Streetcar Named Desire,1952,12,4,33.333333333333336,702,tt0044081,1800000,8000000,['Drama'],['US']
