movie,indication_year,number_indications,victories,percentage_victories,tmdb_id
Ed Wood,1995,2,2,100.0,522
Fame,1981,6,2,33.333333333333336,3537
Little Miss Sunshine,2007,4,2,50.0,773
Sentinels of Silence,1972,2,2,100.0,243349
Room at the Top,1960,6,2,33.333333333333336,43103
Cocoon,1986,2,2,100.0,10328
An Officer and a Gentleman,1983,6,2,33.333333333333336,2623
Romeo and Juliet,1969,4,2,50.0,6003
A Midsummer Night's Dream,1936,4,2,50.0,19075
A Farewell to Arms,1934,4,2,50.0,0
Picnic,1956,6,2,33.333333333333336,39940
Pocahontas,1996,2,2,100.0,0
Pinocchio,1941,2,2,100.0,10895
Nicholas and Alexandra,1972,6,2,33.333333333333336,38646
Ryan's Daughter,1971,4,2,50.0,38953
Somebody Up There Likes Me,1957,3,2,66.66666666666667,28000
Rebecca,1941,11,2,18.181818181818183,223
Moulin Rouge,1953,7,2,28.571428571428573,10910
A Letter to Three Wives,1950,3,2,66.66666666666667,45578
Wings,1929,2,2,100.0,0
The Wizard of Oz,1940,6,2,33.333333333333336,630
The Way We Were,1974,6,2,33.333333333333336,10236
The Empire Strikes Back,1981,4,2,50.0,1891
One Night of Love,1935,6,2,33.333333333333336,84097
The Little Mermaid,1990,3,2,66.66666666666667,10144
Manchester by the Sea,2017,6,2,33.333333333333336,334541
An Inconvenient Truth,2007,2,2,100.0,1781
The Jolson Story,1947,6,2,33.333333333333336,31206
The Iron Lady,2012,2,2,100.0,71688
Crazy Heart,2010,3,2,66.66666666666667,25196
Battleground,1950,6,2,33.333333333333336,31623
Bound for Glory,1977,6,2,33.333333333333336,42232
A Double Life,1948,4,2,50.0,41206
Frida,2003,6,2,33.333333333333336,1360
In Old Chicago,1938,6,2,33.333333333333336,78734
Topsy-Turvy,2000,4,2,50.0,46435
Beauty and the Beast,1992,6,2,33.333333333333336,10020
Precious: Based on the Novel 'Push' by Sapphire,2010,6,2,33.333333333333336,25793
Toy Story 3,2011,5,2,40.0,10193
The Incredibles,2005,4,2,50.0,9806
The Big House,1931,4,2,50.0,47250
The Longest Day,1963,5,2,40.0,9289
Black Narcissus,1948,2,2,100.0,16391
Jezebel,1939,5,2,40.0,1976
King Solomon's Mines,1951,3,2,66.66666666666667,43388
The Lion King,1995,4,2,50.0,8587
All Quiet on the Western Front,1931,4,2,50.0,143
Lincoln,2013,12,2,16.666666666666668,72976
Great Expectations,1948,5,2,40.0,0
Boys Town,1939,5,2,40.0,42390
The Great Gatsby,1975,2,2,100.0,11034
Philadelphia,1994,5,2,40.0,9800
The Hindenburg,1976,5,2,40.0,17599
Aladdin,1993,5,2,40.0,0
Arthur,1982,4,2,50.0,13665
Breakfast at Tiffany's,1962,5,2,40.0,164
The Robe,1954,5,2,40.0,29912
Born Free,1967,2,2,100.0,15347
Ghost,1991,5,2,40.0,251
Fantastic Voyage,1967,5,2,40.0,2161
Samson and Delilah,1951,5,2,40.0,0
Django Unchained,2013,5,2,40.0,68718
Phantom of the Opera,1944,4,2,50.0,15855
Frozen,2014,2,2,100.0,109445
Ray,2005,6,2,33.333333333333336,1677
Anna and the King of Siam,1947,5,2,40.0,43471
The Philadelphia Story,1941,6,2,33.333333333333336,981
Hacksaw Ridge,2017,6,2,33.333333333333336,324786
Twelve O'Clock High,1950,4,2,50.0,15497
The Usual Suspects,1996,2,2,100.0,629
The Lord of the Rings: The Two Towers,2003,6,2,33.333333333333336,121
Restoration,1996,2,2,100.0,35196
Skyfall,2013,5,2,40.0,37724
The Red Shoes,1949,5,2,40.0,19542
Up,2010,5,2,40.0,14160
Norma Rae,1980,4,2,50.0,40842
Earthquake,1975,5,2,40.0,11123
The Greatest Show on Earth,1953,5,2,40.0,27191
National Velvet,1946,5,2,40.0,0
Federico Fellini's 8-1/2,1964,5,2,40.0,422
Tender Mercies,1984,5,2,40.0,42121
My Left Foot,1990,5,2,40.0,10161
Oklahoma!,1956,4,2,50.0,13936
Z,1970,5,2,40.0,2721
The Great Gatsby,2014,2,2,100.0,64682
The Good Earth,1938,5,2,40.0,36652
The Miracle Worker,1963,5,2,40.0,1162
The Champ,1933,4,2,50.0,385195
Midnight Express,1979,6,2,33.333333333333336,11327
A Man and a Woman,1967,4,2,50.0,42726
As Good as It Gets,1998,7,2,28.571428571428573,2898
Bad Girl,1933,3,2,66.66666666666667,0
Moulin Rouge,2002,8,2,25.0,824
"20,000 Leagues under the Sea",1955,3,2,66.66666666666667,173
La Vie en Rose,2008,3,2,66.66666666666667,1407
The Cider House Rules,2000,7,2,28.571428571428573,1715
Good Will Hunting,1998,9,2,22.22222222222222,489
The Country Girl,1955,7,2,28.571428571428573,2438
Apocalypse Now,1980,8,2,25.0,28
Raging Bull,1981,8,2,25.0,1578
Master and Commander: The Far Side of the World,2004,10,2,20.0,8619
Close Encounters of the Third Kind,1978,9,2,22.22222222222222,840
Bugsy,1992,10,2,20.0,10337
Stagecoach,1940,7,2,28.571428571428573,995
Lost Horizon,1938,7,2,28.571428571428573,3598
Dreamgirls,2007,8,2,25.0,1125
Milk,2009,8,2,25.0,0
Judgment at Nuremberg,1962,11,2,18.181818181818183,821
The Exorcist,1974,10,2,20.0,9552
You Can't Take It with You,1939,7,2,28.571428571428573,34106
Separate Tables,1959,7,2,28.571428571428573,43136
Guess Who's Coming to Dinner,1968,10,2,20.0,1879
A Passage to India,1985,11,2,18.181818181818183,15927
Places in the Heart,1985,7,2,28.571428571428573,13681
Born on the Fourth of July,1990,8,2,25.0,2604
The Fighter,2011,7,2,28.571428571428573,45317
The Last Picture Show,1972,8,2,25.0,25188
Gaslight,1945,7,2,28.571428571428573,13528
Three Coins in the Fountain,1955,3,2,66.66666666666667,41503
The Grapes of Wrath,1941,7,2,28.571428571428573,596
Fargo,1997,7,2,28.571428571428573,275
Bonnie and Clyde,1968,10,2,20.0,475
Joan of Arc,1949,7,2,28.571428571428573,43443
The Poseidon Adventure,1973,9,2,22.22222222222222,551
The Hustler,1962,9,2,22.22222222222222,990
Alice in Wonderland,2011,3,2,66.66666666666667,0
L.A. Confidential,1998,9,2,22.22222222222222,2118
The Yearling,1947,7,2,28.571428571428573,19049
Witness,1986,8,2,25.0,9281
Apollo 13,1996,9,2,22.22222222222222,568
Here Comes Mr. Jordan,1942,7,2,28.571428571428573,38914
The Dark Knight,2009,8,2,25.0,155
The Defiant Ones,1959,9,2,22.22222222222222,11414
Aliens,1987,7,2,28.571428571428573,679
There Will Be Blood,2008,8,2,25.0,7345
Speed,1995,3,2,66.66666666666667,1637
Sergeant York,1942,11,2,18.181818181818183,16442
JFK,1992,8,2,25.0,820
The Quiet Man,1953,7,2,28.571428571428573,3109
Ship of Fools,1966,8,2,25.0,30080
The Naked City,1949,3,2,66.66666666666667,20482
Melvin and Howard,1981,3,2,66.66666666666667,38772
Mighty Aphrodite,1996,2,1,50.0,11448
Ray's Male Heterosexual Dance Hall,1988,1,1,100.0,211375
The Nights of Cabiria,1958,1,1,100.0,0
The Man Who Skied down Everest,1976,1,1,100.0,37339
Suspicion,1942,3,1,33.333333333333336,11462
Sweet Bird of Youth,1963,3,1,33.333333333333336,33632
The Old Mill,1938,1,1,100.0,72640
Genocide,1982,1,1,100.0,0
Crash Dive,1944,1,1,100.0,74012
The Duchess,2009,2,1,50.0,12783
Little Women,1950,2,1,50.0,43436
The Hospital,1972,2,1,50.0,32082
Peter & the Wolf,2008,1,1,100.0,0
Sweeney Todd The Demon Barber of Fleet Street,2008,3,1,33.333333333333336,13885
The Panama Deception,1993,1,1,100.0,41773
The Paleface,1949,1,1,100.0,17804
The Pink Phink,1965,1,1,100.0,149193
La Strada,1957,2,1,50.0,43255
Plymouth Adventure,1953,1,1,100.0,90968
The Personals: Improvisations on Romance in the Golden Years,1999,1,1,100.0,0
The Phone Call,2015,1,1,100.0,0
Ferdinand the Bull,1939,1,1,100.0,47166
South Pacific,1959,3,1,33.333333333333336,17352
First Steps,1948,1,1,100.0,240435
Thoth,2002,1,1,100.0,0
The Face of Lincoln,1956,2,1,50.0,0
Czechoslovakia 1968,1970,1,1,100.0,154645
Project Hope,1962,1,1,100.0,243209
The End of the Game,1976,1,1,100.0,72494
Curfew,2013,1,1,100.0,0
Piper,2017,1,1,100.0,399106
The Garden of the Finzi Continis,1972,2,1,50.0,0
Flamenco at 5:15,1984,1,1,100.0,244449
Hotel Terminus: The Life and Times of Klaus Barbie,1989,1,1,100.0,41954
How to Sleep,1936,1,1,100.0,197160
The Nutty Professor,1997,1,1,100.0,9327
The Old Man and the Sea,2000,1,1,100.0,38577
The Golden Compass,2008,2,1,50.0,2268
Klute,1972,2,1,50.0,466
Cyrano de Bergerac,1951,1,1,100.0,43386
Crac,1982,1,1,100.0,90781
Princess O'Rourke,1944,1,1,100.0,33039
The Farmer's Daughter,1948,2,1,50.0,43466
The Private Life of the Gannets,1938,1,1,100.0,0
Franz Kafka's It's a Wonderful Life,1995,1,1,100.0,0
Indochine,1993,2,1,50.0,2731
Freeheld,2008,1,1,100.0,245025
Reversal of Fortune,1991,3,1,33.333333333333336,38718
Inside Out,2016,2,1,50.0,150540
Frenchman's Creek,1946,1,1,100.0,0
The Bridges at Toko-Ri,1956,2,1,50.0,0
Scared Straight!,1979,1,1,100.0,92215
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006,3,1,33.333333333333336,411
Monster's Ball,2002,2,1,50.0,1365
Creature Comforts,1991,1,1,100.0,0
Saving Face,2012,1,1,100.0,0
Herb Alpert and the Tijuana Brass Double Feature,1967,1,1,100.0,209505
The Candidate,1973,2,1,50.0,21711
Indiana Jones and the Temple of Doom,1985,2,1,50.0,87
Independence Day,1997,2,1,50.0,602
The Big Country,1959,2,1,50.0,12501
From Mao to Mozart: Isaac Stern in China,1981,1,1,100.0,0
The Joker Is Wild,1958,1,1,100.0,133792
My Gal Sal,1943,2,1,50.0,109933
Men in Black,1998,3,1,33.333333333333336,607
The Johnstown Flood,1990,1,1,100.0,244712
The Stone Carvers,1985,1,1,100.0,244656
Total Recall,1991,3,1,33.333333333333336,861
The Blind Side,2010,2,1,50.0,22881
Gate of Hell,1955,1,1,100.0,0
What Dreams May Come,1999,2,1,50.0,12159
Eternal Sunshine of the Spotless Mind,2005,2,1,50.0,38
Session Man,1992,1,1,100.0,244729
Flowers and Trees,1933,1,1,100.0,106112
Seal Island,1949,1,1,100.0,107881
The Music Box,1933,1,1,100.0,44892
The Black Swan,1943,3,1,33.333333333333336,29882
The Dark Angel,1936,3,1,33.333333333333336,120977
Talk to Her,2003,2,1,50.0,64
Naughty Marietta,1936,2,1,50.0,43894
Hustle & Flow,2006,2,1,50.0,10476
The Lavender Hill Mob,1953,2,1,50.0,0
Princeton: A Search for Answers,1974,1,1,100.0,0
The Discreet Charm of the Bourgeoisie,1973,2,1,50.0,4593
The Muppets,2012,1,1,100.0,64328
The Last Command,1929,2,1,50.0,52679
Ida,2015,2,1,50.0,0
Pride and Prejudice,1941,1,1,100.0,43818
The Barbarian Invasions,2004,2,1,50.0,11042
The Barefoot Contessa,1955,2,1,50.0,34689
Neighbours,1953,2,1,50.0,51406
Feast,2015,1,1,100.0,293299
The Moon and the Son: An Imagined Conversation,2006,1,1,100.0,44360
The Adventures of Don Juan,1950,2,1,50.0,0
Facing Your Danger,1947,1,1,100.0,240410
The Eleanor Roosevelt Story,1966,1,1,100.0,114510
Prelude to War,1943,1,1,100.0,23336
Precious Images,1987,1,1,100.0,147081
Crashing the Water Barrier,1957,1,1,100.0,243038
The Public Pays,1937,1,1,100.0,130386
The New Tenants,2010,1,1,100.0,47798
Crisis Hotline: Veterans Press 1,2015,1,1,100.0,0
Father and Daughter,2001,1,1,100.0,48617
Seawards the Great Ships,1962,1,1,100.0,243202
Searching for Sugar Man,2013,1,1,100.0,84334
Marooned,1970,3,1,33.333333333333336,40140
Legends of the Fall,1995,3,1,33.333333333333336,4476
Happy Feet,2007,1,1,100.0,9836
The Red Balloon,1957,1,1,100.0,15265
Johnny Eager,1943,1,1,100.0,0
Thursday's Children,1955,1,1,100.0,243023
Shaft,1972,2,1,50.0,482
Get Out Your Handkerchiefs,1979,1,1,100.0,4267
Karl Hess: Toward Liberty,1981,1,1,100.0,244373
Syriana,2006,2,1,50.0,231
Sleepy Hollow,2000,3,1,33.333333333333336,2668
Here Comes the Groom,1952,2,1,50.0,27629
Giuseppina,1961,1,1,100.0,243196
Give Me Liberty,1937,1,1,100.0,233693
Written on the Wind,1957,3,1,33.333333333333336,69605
Selma,2015,2,1,50.0,0
Glass,1960,1,1,100.0,448124
Pelle the Conqueror,1989,2,1,50.0,0
Good-bye Miss Turlock,1948,1,1,100.0,0
Interviews with My Lai Veterans,1971,1,1,100.0,0
Shrek,2002,2,1,50.0,808
A Free Soul,1932,3,1,33.333333333333336,50600
Pollock,2001,2,1,50.0,12509
To Be Alive!,1966,1,1,100.0,0
Is It Always Right to Be Right?,1971,1,1,100.0,209535
The Magic Machines,1970,2,1,50.0,243329
The Red Violin,2000,1,1,100.0,0
Logan's Run,1977,3,1,33.333333333333336,10803
A Fish Called Wanda,1989,3,1,33.333333333333336,623
The Merry Widow,1935,1,1,100.0,43689
Journey of Hope,1991,1,1,100.0,41834
Investigation of a Citizen above Suspicion,1971,1,1,100.0,26451
Save the Tiger,1974,3,1,33.333333333333336,38714
Into the Arms of Strangers: Stories of the Kindertransport,2001,1,1,100.0,58062
Swing Time,1937,2,1,50.0,20325
Les Girls,1958,3,1,33.333333333333336,43232
Geri's Game,1998,1,1,100.0,13929
Dear Diary,1997,1,1,100.0,244901
King Gimp,2000,1,1,100.0,244949
"Girl, Interrupted",2000,1,1,100.0,3558
Shanghai Express,1933,3,1,33.333333333333336,875
To Catch a Thief,1956,3,1,33.333333333333336,381
King of Jazz,1931,1,1,100.0,108213
The Dollar Bottom,1981,1,1,100.0,0
Thunderball,1966,1,1,100.0,660
The Dot and the Line,1966,1,1,100.0,84617
Frank Film,1974,1,1,100.0,147199
The Dove;,1929,1,1,100.0,0
Grand Hotel,1933,1,1,100.0,33680
Through a Glass Darkly,1962,1,1,100.0,11602
Grand Canyon,1959,1,1,100.0,47384
"Come Back, Little Sheba",1953,3,1,33.333333333333336,84214
Gerald McBoing-Boing,1951,1,1,100.0,46990
Lovers and Other Strangers,1971,3,1,33.333333333333336,42593
Spider-Man 2,2005,3,1,33.333333333333336,558
Woodstock,1971,3,1,33.333333333333336,9459
The Divine Lady,1930,3,1,33.333333333333336,104214
Calamity Jane,1954,3,1,33.333333333333336,14117
Key Largo,1949,1,1,100.0,11016
The Young Victoria,2010,3,1,33.333333333333336,18320
The Glenn Miller Story,1955,3,1,33.333333333333336,17729
Wonder Boys,2001,3,1,33.333333333333336,11004
This Is the Army,1944,3,1,33.333333333333336,43517
Journey into Self,1969,1,1,100.0,0
Johann Mouse,1953,1,1,100.0,0
Kentucky,1939,1,1,100.0,118889
RoboCop,1988,3,1,33.333333333333336,5548
Little Women,1934,3,1,33.333333333333336,39938
Harry and the Hendersons,1988,1,1,100.0,8989
The Harvey Girls,1947,2,1,50.0,28907
Quicker 'N a Wink,1941,1,1,100.0,236799
State Fair,1946,2,1,50.0,27686
Gravity Is My Enemy,1978,1,1,100.0,243605
Harvey,1951,2,1,50.0,11787
Hitler Lives?,1946,1,1,100.0,240400
Three Orphan Kittens,1936,1,1,100.0,67626
This Charming Man (Der Er En Yndig Mand),2003,1,1,100.0,0
Great,1976,1,1,100.0,208561
The Lunch Date,1991,1,1,100.0,0
Harry and Tonto,1975,2,1,50.0,42448
The Enemy Below,1958,1,1,100.0,15876
Sling Blade,1997,2,1,50.0,12498
Quiet Please!,1946,1,1,100.0,40164
The Omen,1977,2,1,50.0,794
Quiero Ser (I want to be...),2001,1,1,100.0,244954
Quest,1997,1,1,100.0,93114
Inside Job,2011,1,1,100.0,44639
Quest for Fire,1983,1,1,100.0,0
Strike Up the Band,1941,3,1,33.333333333333336,43819
Purple Rain,1985,1,1,100.0,13763
This Mechanical Age,1955,1,1,100.0,243020
"Harlan County, U.S.A.",1977,1,1,100.0,33324
The Cowboy and the Lady,1939,3,1,33.333333333333336,112674
California Suite,1979,3,1,33.333333333333336,26686
This Land Is Mine,1944,1,1,100.0,45220
The Resurrection of Broncho Billy,1971,1,1,100.0,107486
"Now, Voyager",1943,3,1,33.333333333333336,32847
Rango,2012,1,1,100.0,44896
The Man Who Planted Trees,1988,1,1,100.0,49565
The Man Who Knew Too Much,1957,1,1,100.0,574
This Tiny World,1973,1,1,100.0,243368
Mona Lisa Descending a Staircase,1993,1,1,100.0,188425
Molly's Pilgrim,1986,1,1,100.0,244664
A River Runs through It,1993,3,1,33.333333333333336,293
Grandad of Races,1951,1,1,100.0,242964
God of Love,2011,1,1,100.0,58763
Inocente,2013,1,1,100.0,137648
Tin Toy,1989,1,1,100.0,13927
Tin Pan Alley,1941,1,1,100.0,108222
Harvie Krumpet,2004,1,1,100.0,21131
The Official Story,1986,2,1,50.0,29263
Splendor in the Grass,1962,2,1,50.0,28569
Toward Independence,1949,1,1,100.0,240452
Goldfinger,1965,1,1,100.0,658
Gold Diggers of 1935,1936,2,1,50.0,43892
He Makes Me Feel Like Dancin',1984,1,1,100.0,114520
The Milky Way,1941,1,1,100.0,163882
Just Another Missing Kid,1983,1,1,100.0,0
The Milagro Beanfield War,1989,1,1,100.0,13482
Heureux Anniversaire (Happy Anniversary),1963,1,1,100.0,0
Rosemary's Baby,1969,2,1,50.0,805
The Motorcycle Diaries,2005,2,1,50.0,1653
The Merry Wives of Windsor Overture,1954,1,1,100.0,243003
Hearts and Minds,1975,1,1,100.0,42449
The Redwoods,1968,1,1,100.0,243314
Heavenly Music,1944,1,1,100.0,236865
Song of the South,1948,2,1,50.0,0
Jacques-Yves Cousteau's World without Sun,1965,1,1,100.0,0
Helen Keller in Her Story,1956,1,1,100.0,0
Helium,2014,1,1,100.0,249699
"Hello, Frisco, Hello",1944,2,1,50.0,31770
Portrait of Jennie,1949,2,1,50.0,32558
It's Tough to Be a Bird,1970,1,1,100.0,58143
Innerspace,1988,1,1,100.0,2614
The Black Stallion,1980,3,1,33.333333333333336,17264
Cromwell,1971,2,1,50.0,31675
Serengeti Shall Not Die,1960,1,1,100.0,12552
Why Korea?,1951,1,1,100.0,0
Black Fox,1963,1,1,100.0,114508
Wasp,2005,1,1,100.0,0
Black Orpheus,1960,1,1,100.0,40423
Black Rider (Schwarzfahrer),1994,1,1,100.0,162503
Black and White in Color,1977,1,1,100.0,42238
One Day in September,2000,1,1,100.0,34045
Omnibus,1993,1,1,100.0,244740
Trevor,1995,1,1,100.0,113454
Tango,1983,1,1,100.0,0
A Year toward Tomorrow,1967,1,1,100.0,243295
On the Town,1950,1,1,100.0,31516
The Cat Concerto,1947,1,1,100.0,0
Once,2008,1,1,100.0,0
Water Birds,1953,1,1,100.0,179184
A Time for Justice,1995,1,1,100.0,244878
Tabu,1932,1,1,100.0,977
Bird,1989,1,1,100.0,24679
Birds Anonymous,1958,1,1,100.0,100395
