,year,participation,edition,DIRECTING,FILM EDITING,ACTOR IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,DOCUMENTARY (Short Subject),DOCUMENTARY (Feature),CINEMATOGRAPHY,FOREIGN LANGUAGE FILM,HONORARY AWARD,ART DIRECTION,BEST PICTURE,COSTUME DESIGN,ACTRESS,ACTOR,SOUND,SHORT FILM (Animated),SHORT FILM (Live Action),MUSIC (Original Song),MUSIC (Original Score),ACTOR IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,SHORT SUBJECT (Cartoon),IRVING G. THALBERG MEMORIAL AWARD,JEAN HERSHOLT HUMANITARIAN AWARD,VISUAL EFFECTS,MUSIC (Song),MAKEUP,SOUND RECORDING,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Color),SPECIAL EFFECTS,ART DIRECTION (Black-and-White),ART DIRECTION (Color),WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),SHORT SUBJECT (One-reel),WRITING (Screenplay),SHORT SUBJECT (Two-reel),MUSIC (Scoring of a Musical Picture),MUSIC (Music Score of a Dramatic or Comedy Picture),WRITING (Screenplay--based on material from another medium),SPECIAL AWARD,BEST MOTION PICTURE,SOUND EDITING,SHORT SUBJECT (Live Action),COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Color),SOUND EFFECTS EDITING,ANIMATED FEATURE FILM,WRITING (Adapted Screenplay),SOUND MIXING,WRITING (Screenplay Based on Material from Another Medium),WRITING (Original Story),WRITING (Story and Screenplay--written directly for the screen),OUTSTANDING PRODUCTION,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Motion Picture Story),SPECIAL ACHIEVEMENT AWARD (Visual Effects),SPECIAL VISUAL EFFECTS,MUSIC (Original Dramatic Score),MUSIC (Scoring),WRITING (Story and Screenplay),MUSIC (Scoring of Music--adaptation or treatment),SOUND EFFECTS,MAKEUP AND HAIRSTYLING,WRITING (Adaptation),MUSIC (Song--Original for the Picture),PRODUCTION DESIGN,WRITING (Original Motion Picture Story),ASSISTANT DIRECTOR,HONORARY FOREIGN LANGUAGE FILM AWARD,SHORT SUBJECT (Comedy),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),MUSIC (Music Score--substantially original),SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),MUSIC (Original Musical or Comedy Score),SHORT SUBJECT (Novelty),OUTSTANDING MOTION PICTURE,SPECIAL ACHIEVEMENT AWARD,SHORT SUBJECT (Animated),MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),DANCE DIRECTION,WRITING,SPECIAL FOREIGN LANGUAGE FILM AWARD,WRITING (Screenplay Adapted from Other Material),MUSIC (Original Music Score),WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),MUSIC (Original Score--for a motion picture [not a musical]),MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),MUSIC (Original Song Score and Its Adaptation or Adaptation Score),MUSIC (Original Song Score),MUSIC (Score of a Musical Picture--original or adaptation),SHORT SUBJECT (Color),MUSIC (Scoring: Adaptation and Original Song Score),OUTSTANDING PICTURE,WRITING (Screenplay--Adapted),WRITING (Story and Screenplay--based on material not previously published or produced),WRITING (Screenplay--Original),ENGINEERING EFFECTS,UNIQUE AND ARTISTIC PICTURE,SPECIAL ACHIEVEMENT AWARD (Sound Effects),SPECIAL ACHIEVEMENT AWARD (Sound Editing),DOCUMENTARY,SHORT FILM (Dramatic Live Action),MUSIC (Original Song Score or Adaptation Score),MUSIC (Music Score of a Dramatic Picture),MUSIC (Adaptation Score),DIRECTING (Comedy Picture),DIRECTING (Dramatic Picture),WRITING (Title Writing)
60,1989,25,61,Barry Levinson,Who Framed Roger Rabbit,Kevin Kline,Geena Davis,You Don't Have to Die,Hotel Terminus: The Life and Times of Klaus Barbie,Mississippi Burning,Pelle the Conqueror,,Art Direction:  Stuart Craig;  Set Decoration:  Gerard James,"Mark Johnson, Producer",James Acheson,,,Bird,Tin Toy,The Appointments of Dennis Jennings,Working Girl,The Milagro Beanfield War,Dustin Hoffman,Jodie Foster,,,,"Ken Ralston, Richard Williams, Edward Jones, George Gibbs",,"Ve Neill, Steve La Porte, Robert Short",,,,,,,,Rain Man,,,,,,,,,,,,,Who Framed Roger Rabbit,,,,Dangerous Liaisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1990,25,62,Oliver Stone,Born on the Fourth of July,Denzel Washington,Brenda Fricker,The Johnstown Flood,Common Threads: Stories from the Quilt,Glory,Cinema Paradiso,,Art Direction:  Anton Furst;  Set Decoration:  Peter Young,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Phyllis Dalton,,,Glory,Balance,Work Experience,The Little Mermaid,The Little Mermaid,Daniel Day Lewis,Jessica Tandy,,,,"John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak",,"Manlio Rocchetti, Lynn Barber, Kevin Haney",,,,,,,,Dead Poets Society,,,,,,,,,,,,,Indiana Jones and the Last Crusade,,,,Driving Miss Daisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1991,25,63,Kevin Costner,Dances With Wolves,Joe Pesci,Whoopi Goldberg,Days of Waiting,American Dream,Dances With Wolves,Journey of Hope,,Art Direction:  Richard Sylbert;  Set Decoration:  Rick Simpson,"Jim Wilson and Kevin Costner, Producers",Franca Squarciapino,,,Dances With Wolves,Creature Comforts,The Lunch Date,Dick Tracy,Dances With Wolves,Jeremy Irons,Kathy Bates,,,,,,"John Caglione, Jr., Doug Drexler",,,,,,,,Ghost,,,,,,,,,,,,,The Hunt for Red October,,,,Dances With Wolves,,,,,,"Eric Brevig, Rob Bottin, Tim McGovern, Alex Funke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1992,25,64,Jonathan Demme,JFK,Jack Palance,Mercedes Ruehl,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",In the Shadow of the Stars,JFK,Mediterraneo,,Art Direction:  Dennis Gassner;  Set Decoration:  Nancy Haigh,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",Albert Wolsky,,,Terminator 2: Judgment Day,Manipulation,Session Man,Beauty and the Beast,Beauty and the Beast,Anthony Hopkins,Jodie Foster,,,,"Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak",,"Stan Winston, Jeff Dawn",,,,,,,,Thelma & Louise,,,,,,,,,,,,,Terminator 2: Judgment Day,,,,,,,,The Silence of the Lambs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1993,25,65,Clint Eastwood,Unforgiven,Gene Hackman,Marisa Tomei,Educating Peter,The Panama Deception,A River Runs through It,Indochine,,Art Direction:  Luciana Arrighi;  Set Decoration:  Ian Whittaker,"Clint Eastwood, Producer",Eiko Ishioka,,,The Last of the Mohicans,Mona Lisa Descending a Staircase,Omnibus,Aladdin,Aladdin,Al Pacino,Emma Thompson,,,,"Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr.",,"Greg Cannom, Michèle Burke, Matthew W. Mungle",,,,,,,,The Crying Game,,,,,,,,,,,,,Bram Stoker's Dracula,,,,,,,,Howards End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1994,25,66,Steven Spielberg,Schindler's List,Tommy Lee Jones,Anna Paquin,Defending Our Lives,I Am a Promise: The Children of Stanton Elementary School,Schindler's List,Belle Epoque,,Art Direction:  Allan Starski;  Set Decoration:  Ewa Braun,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Gabriella Pescucci,,,Jurassic Park,The Wrong Trousers,Black Rider (Schwarzfahrer),Philadelphia,Schindler's List,Tom Hanks,Holly Hunter,,,,"Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri",,"Greg Cannom, Ve Neill, Yolanda Toussieng",,,,,,,,The Piano,,,,,,,,,,,,,Jurassic Park,,,,,,,,Schindler's List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1995,26,67,Robert Zemeckis,Forrest Gump,Martin Landau,Dianne Wiest,A Time for Justice,Maya Lin: A Strong Clear Vision,Legends of the Fall,Burnt by the Sun,,Art Direction:  Ken Adam;  Set Decoration:  Carolyn Scott,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers","Lizzy Gardiner, Tim Chappel",,,Speed,Bob's Birthday,Franz Kafka's It's a Wonderful Life,The Lion King,The Lion King,Tom Hanks,Jessica Lange,,,,"Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall",,"Rick Baker, Ve Neill, Yolanda Toussieng",,,,,,,,Pulp Fiction,,,,,,,,,,,,,Speed,,,,,,,,Forrest Gump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1996,26,68,Mel Gibson,Apollo 13,Kevin Spacey,Mira Sorvino,One Survivor Remembers,Anne Frank Remembered,Braveheart,Antonia's Line,,Eugenio Zanetti,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",James Acheson,,,Apollo 13,A Close Shave,Lieberman in Love,Pocahontas,,Nicolas Cage,Susan Sarandon,,,,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox",,"Peter Frampton, Paul Pattison, Lois Burwell",,,,,,,,The Usual Suspects,,,,,,,,,,,,,Braveheart,,,,,,,,Sense and Sensibility,,,,The Postman (Il Postino),,,,,,,,,,,,,,,,Pocahontas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1997,26,69,Anthony Minghella,The English Patient,"Cuba Gooding, Jr.",Juliette Binoche,Breathing Lessons: The Life and Work of Mark O'Brien,When We Were Kings,The English Patient,Kolya,,Art Direction:  Stuart Craig;  Set Decoration:  Stephenie McMillan,"Saul Zaentz, Producer",Ann Roth,,,The English Patient,Quest,Dear Diary,Evita,,Geoffrey Rush,Frances McDormand,,,,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil",,"Rick Baker, David LeRoy Anderson",,,,,,,,Fargo,,,,,,,,,,,,,The Ghost and the Darkness,,,,,,,,Sling Blade,,,,The English Patient,,,,,,,,,,,,,,,,Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1998,25,70,James Cameron,Titanic,Robin Williams,Kim Basinger,A Story of Healing,The Long Way Home,Titanic,Character,,Art Direction:  Peter Lamont;  Set Decoration:  Michael Ford,"James Cameron and Jon Landau, Producers",Deborah L. Scott,,,Titanic,Geri's Game,Visas and Virtue,Titanic,,Jack Nicholson,Helen Hunt,,,,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer",,"Rick Baker, David LeRoy Anderson",,,,,,,,Good Will Hunting,,,,,,,,,,,,,Titanic,,,,,,,,L.A. Confidential,,,,Titanic,,,,,,,,,,,,,,,,The Full Monty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
