,year,participation,edition,DIRECTING,FILM EDITING,ACTOR IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,DOCUMENTARY (Short Subject),DOCUMENTARY (Feature),CINEMATOGRAPHY,FOREIGN LANGUAGE FILM,HONORARY AWARD,ART DIRECTION,BEST PICTURE,COSTUME DESIGN,ACTRESS,ACTOR,SOUND,SHORT FILM (Animated),SHORT FILM (Live Action),MUSIC (Original Song),MUSIC (Original Score),ACTOR IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,SHORT SUBJECT (Cartoon),IRVING G. THALBERG MEMORIAL AWARD,JEAN HERSHOLT HUMANITARIAN AWARD,VISUAL EFFECTS,MUSIC (Song),MAKEUP,SOUND RECORDING,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Color),SPECIAL EFFECTS,ART DIRECTION (Black-and-White),ART DIRECTION (Color),WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),SHORT SUBJECT (One-reel),WRITING (Screenplay),SHORT SUBJECT (Two-reel),MUSIC (Scoring of a Musical Picture),MUSIC (Music Score of a Dramatic or Comedy Picture),WRITING (Screenplay--based on material from another medium),SPECIAL AWARD,BEST MOTION PICTURE,SOUND EDITING,SHORT SUBJECT (Live Action),COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Color),SOUND EFFECTS EDITING,ANIMATED FEATURE FILM,WRITING (Adapted Screenplay),SOUND MIXING,WRITING (Screenplay Based on Material from Another Medium),WRITING (Original Story),WRITING (Story and Screenplay--written directly for the screen),OUTSTANDING PRODUCTION,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Motion Picture Story),SPECIAL ACHIEVEMENT AWARD (Visual Effects),SPECIAL VISUAL EFFECTS,MUSIC (Original Dramatic Score),MUSIC (Scoring),WRITING (Story and Screenplay),MUSIC (Scoring of Music--adaptation or treatment),SOUND EFFECTS,MAKEUP AND HAIRSTYLING,WRITING (Adaptation),MUSIC (Song--Original for the Picture),PRODUCTION DESIGN,WRITING (Original Motion Picture Story),ASSISTANT DIRECTOR,HONORARY FOREIGN LANGUAGE FILM AWARD,SHORT SUBJECT (Comedy),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),MUSIC (Music Score--substantially original),SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),MUSIC (Original Musical or Comedy Score),SHORT SUBJECT (Novelty),OUTSTANDING MOTION PICTURE,SPECIAL ACHIEVEMENT AWARD,SHORT SUBJECT (Animated),MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),DANCE DIRECTION,WRITING,SPECIAL FOREIGN LANGUAGE FILM AWARD,WRITING (Screenplay Adapted from Other Material),MUSIC (Original Music Score),WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),MUSIC (Original Score--for a motion picture [not a musical]),MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),MUSIC (Original Song Score and Its Adaptation or Adaptation Score),MUSIC (Original Song Score),MUSIC (Score of a Musical Picture--original or adaptation),SHORT SUBJECT (Color),MUSIC (Scoring: Adaptation and Original Song Score),OUTSTANDING PICTURE,WRITING (Screenplay--Adapted),WRITING (Story and Screenplay--based on material not previously published or produced),WRITING (Screenplay--Original),ENGINEERING EFFECTS,UNIQUE AND ARTISTIC PICTURE,SPECIAL ACHIEVEMENT AWARD (Sound Effects),SPECIAL ACHIEVEMENT AWARD (Sound Editing),DOCUMENTARY,SHORT FILM (Dramatic Live Action),MUSIC (Original Song Score or Adaptation Score),MUSIC (Music Score of a Dramatic Picture),MUSIC (Adaptation Score),DIRECTING (Comedy Picture),DIRECTING (Dramatic Picture),WRITING (Title Writing)
70,1999,26,71,Steven Spielberg,Saving Private Ryan,James Coburn,Judi Dench,The Personals: Improvisations on Romance in the Golden Years,The Last Days,Saving Private Ryan,Life Is Beautiful,,Art Direction:  Martin Childs;  Set Decoration:  Jill Quertier,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Sandy Powell,,,Saving Private Ryan,Bunny,Election Night (Valgaften),The Prince of Egypt,,Roberto Benigni,Gwyneth Paltrow,,,,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack",,Jenny Shircore,,,,,,,,Shakespeare in Love,,,,,,,,,,,,,Saving Private Ryan,,,,,,,,Gods and Monsters,,,,Life Is Beautiful,,,,,,,,,,,,,,,,Shakespeare in Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2000,25,72,Sam Mendes,The Matrix,Michael Caine,Angelina Jolie,King Gimp,One Day in September,American Beauty,All about My Mother,,Art Direction:  Rick Heinrichs;  Set Decoration:  Peter Young,"Bruce Cohen and Dan Jinks, Producers",Lindy Hemming,,,The Matrix,The Old Man and the Sea,My Mother Dreams the Satan's Disciples in New York,Tarzan,The Red Violin,Kevin Spacey,Hilary Swank,,,,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum",,"Christine Blundell, Trefor Proud",,,,,,,,American Beauty,,,,,,,,,,,,,The Matrix,,,,,,,,The Cider House Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2001,25,73,Steven Soderbergh,Traffic,Benicio Del Toro,Marcia Gay Harden,Big Mama,Into the Arms of Strangers: Stories of the Kindertransport,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon",,Tim Yip,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Janty Yates,,,Gladiator,Father and Daughter,Quiero Ser (I want to be...),Wonder Boys,"Crouching Tiger, Hidden Dragon",Russell Crowe,Julia Roberts,,,,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey",,"Rick Baker, Gail Ryan",,,,,,,,Almost Famous,,,,,,,,,U-571,,,,,,,,,,,,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2002,26,74,Ron Howard,Black Hawk Down,Jim Broadbent,Jennifer Connelly,Thoth,Murder on a Sunday Morning,The Lord of the Rings: The Fellowship of the Ring,No Man's Land,,Art Direction:  Catherine Martin; Set Decoration:  Brigitte Broch,"Brian Grazer and Ron Howard, Producers","Catherine Martin, Angus Strathie",,,Black Hawk Down,For the Birds,the accountant,"Monsters, Inc.",The Lord of the Rings: The Fellowship of the Ring,Denzel Washington,Halle Berry,,,,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",,"Peter Owen, Richard Taylor",,,,,,,,Gosford Park,,,,,,,,,Pearl Harbor,,,,,Shrek,,,,,,,A Beautiful Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2003,25,75,Roman Polanski,Chicago,Chris Cooper,Catherine Zeta-Jones,Twin Towers,Bowling for Columbine,Road to Perdition,Nowhere in Africa,,Art Direction:  John Myhre; Set Decoration:  Gordon Sim,"Martin Richards, Producer",Colleen Atwood,,,Chicago,The ChubbChubbs!,This Charming Man (Der Er En Yndig Mand),8 Mile,Frida,Adrien Brody,Nicole Kidman,,,,"Jim Rygiel, Joe Letteri, Randall William Cook, Alex Funke",,"John Jackson, Beatrice De Alba",,,,,,,Talk to Her,,,,,,,,,,The Lord of the Rings: The Two Towers,,,,,Spirited Away,The Pianist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2004,25,76,Peter Jackson,The Lord of the Rings: The Return of the King,Tim Robbins,Renée Zellweger,Chernobyl Heart,The Fog of War,Master and Commander: The Far Side of the World,The Barbarian Invasions,,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",Ngila Dickson and Richard Taylor,,,,Harvie Krumpet,Two Soldiers,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,Sean Penn,Charlize Theron,,,,"Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke",,Richard Taylor and Peter King,,,,,,,Lost in Translation,,,,,,,,,,Master and Commander: The Far Side of the World,,,,,Finding Nemo,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2005,26,77,Clint Eastwood,The Aviator,Morgan Freeman,Cate Blanchett,Mighty Times: The Children's March,Born into Brothels,The Aviator,The Sea Inside,,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",Sandy Powell,,,,Ryan,Wasp,The Motorcycle Diaries,Finding Neverland,Jamie Foxx,Hilary Swank,,,,"John Dykstra, Scott Stokdyk, Anthony LaMolinara and John Frazier",,Valli O'Reilly and Bill Corso,,,,,,,Eternal Sunshine of the Spotless Mind,,,,,,,,,,The Incredibles,,,,,The Incredibles,Sideways,Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2006,25,78,Ang Lee,Crash,George Clooney,Rachel Weisz,A Note of Triumph: The Golden Age of Norman Corwin,March of the Penguins,Memoirs of a Geisha,Tsotsi,,Art Direction:  John Myhre; Set Decoration:  Gretchen Rau,"Paul Haggis and Cathy Schulman, Producers",Colleen Atwood,,,,The Moon and the Son: An Imagined Conversation,Six Shooter,Hustle & Flow,Brokeback Mountain,Philip Seymour Hoffman,Reese Witherspoon,,,,"Joe Letteri, Brian Van't Hul, Christian Rivers and Richard Taylor",,Howard Berger and Tami Lane,,,,,,,Crash,,,,,,,,,,King Kong,,,,,Wallace & Gromit in The Curse of the Were-Rabbit,Brokeback Mountain,King Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2007,26,79,Martin Scorsese,The Departed,Alan Arkin,Jennifer Hudson,The Blood of Yingzhou District,An Inconvenient Truth,Pan's Labyrinth,The Lives of Others,,Art Direction:  Eugenio Caballero; Set Decoration:  Pilar Revuelta,"Graham King, Producer",Milena Canonero,,,,The Danish Poet,West Bank Story,An Inconvenient Truth,Babel,Forest Whitaker,Helen Mirren,,,,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall",,David Martí and Montse Ribé,,,,,,,Little Miss Sunshine,,,,,,,,,,Letters from Iwo Jima,,,,,Happy Feet,The Departed,Dreamgirls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2008,25,80,Joel Coen and Ethan Coen,The Bourne Ultimatum,Javier Bardem,Tilda Swinton,Freeheld,Taxi to the Dark Side,There Will Be Blood,The Counterfeiters,,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,"Scott Rudin, Ethan Coen and Joel Coen, Producers",Alexandra Byrne,,,,Peter & the Wolf,Le Mozart des Pickpockets (The Mozart of Pickpockets),Once,Atonement,Daniel Day-Lewis,Marion Cotillard,,,,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood",,Didier Lavergne and Jan Archibald,,,,,,,Juno,,,,,,,,,,The Bourne Ultimatum,,,,,Ratatouille,No Country for Old Men,The Bourne Ultimatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2009,25,81,Danny Boyle,Slumdog Millionaire,Heath Ledger,Penélope Cruz,Smile Pinki,Man on Wire,Slumdog Millionaire,Departures,,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,"Christian Colson, Producer",Michael O'Connor,,,,La Maison en Petits Cubes,Spielzeugland (Toyland),Slumdog Millionaire,Slumdog Millionaire,Sean Penn,Kate Winslet,,,,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",,Greg Cannom,,,,,,,Milk,,,,,,,,,,The Dark Knight,,,,,WALL-E,Slumdog Millionaire,Slumdog Millionaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2010,26,82,Kathryn Bigelow,The Hurt Locker,Christoph Waltz,Mo'Nique,Music by Prudence,The Cove,Avatar,The Secret in Their Eyes,,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",Sandy Powell,,,,Logorama,The New Tenants,Crazy Heart,Up,Jeff Bridges,Sandra Bullock,,,,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",,"Barney Burman, Mindy Hall and Joel Harlow",,,,,,,The Hurt Locker,,,,,,,,,,The Hurt Locker,,,,,Up,Precious: Based on the Novel 'Push' by Sapphire,The Hurt Locker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2011,26,83,Tom Hooper,The Social Network,Christian Bale,Melissa Leo,Strangers No More,Inside Job,Inception,In a Better World,,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",Colleen Atwood,,,,The Lost Thing,God of Love,Toy Story 3,The Social Network,Colin Firth,Natalie Portman,,,,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",,Rick Baker and Dave Elsey,,,,,,,The King's Speech,,,,,,,,,,Inception,,,,,Toy Story 3,The Social Network,Inception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2012,26,84,Michel Hazanavicius,The Girl with the Dragon Tattoo,Christopher Plummer,Octavia Spencer,Saving Face,Undefeated,Hugo,A Separation,,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,"Thomas Langmann, Producer",Mark Bridges,,,,The Fantastic Flying Books of Mr. Morris Lessmore,The Shore,The Muppets,The Artist,Jean Dujardin,Meryl Streep,,,,"Rob Legato, Joss Williams, Ben Grossmann and Alex Henning",,Mark Coulier and J. Roy Helland,,,,,,,Midnight in Paris,,,,,,,,,,Hugo,,,,,Rango,The Descendants,Hugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2013,26,85,Ang Lee,Argo,Christoph Waltz,Anne Hathaway,Inocente,Searching for Sugar Man,Life of Pi,Amour,,,"Grant Heslov, Ben Affleck and George Clooney, Producers",Jacqueline Durran,,,,Paperman,Curfew,Skyfall,Life of Pi,Daniel Day-Lewis,Jennifer Lawrence,,,,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",,,,,,,,,Django Unchained,,,,,,,,,,Skyfall,,,,,Brave,Argo,Les Misérables,,,,,,,,,,,,,,Lisa Westcott and Julie Dartnell,,,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2014,26,86,Alfonso Cuarón,Gravity,Jared Leto,Lupita Nyong'o,The Lady in Number 6: Music Saved My Life,20 Feet from Stardom,Gravity,The Great Beauty,,,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",Catherine Martin,,,,Mr. Hublot,Helium,Frozen,Gravity,Matthew McConaughey,Cate Blanchett,,,,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",,,,,,,,,Her,,,,,,,,,,Gravity,,,,,Frozen,12 Years a Slave,Gravity,,,,,,,,,,,,,,Adruitha Lee and Robin Mathews,,,The Great Gatsby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2015,26,87,Alejandro G. Iñárritu,Whiplash,J.K. Simmons,Patricia Arquette,Crisis Hotline: Veterans Press 1,CitizenFour,Birdman or (The Unexpected Virtue of Ignorance),Ida,,,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Milena Canonero,,,,Feast,The Phone Call,Selma,The Grand Budapest Hotel,Eddie Redmayne,Julianne Moore,,,,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher",,,,,,,,,Birdman or (The Unexpected Virtue of Ignorance),,,,,,,,,,American Sniper,,,,,Big Hero 6,The Imitation Game,Whiplash,,,,,,,,,,,,,,Frances Hannon and Mark Coulier,,,The Grand Budapest Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2016,26,88,Alejandro G. Iñárritu,Mad Max: Fury Road,Mark Rylance,Alicia Vikander,A Girl in the River: The Price of Forgiveness,Amy,The Revenant,Son of Saul,,,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Jenny Beavan,,,,Bear Story,Stutterer,Spectre,The Hateful Eight,Leonardo DiCaprio,Brie Larson,,,,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett",,,,,,,,,Spotlight,,,,,,,,,,Mad Max: Fury Road,,,,,Inside Out,The Big Short,Mad Max: Fury Road,,,,,,,,,,,,,,"Lesley Vanderwalt, Elka Wardega and Damian Martin",,,Mad Max: Fury Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2017,25,89,Damien Chazelle,Hacksaw Ridge,Mahershala Ali,Viola Davis,The White Helmets,O.J.: Made in America,La La Land,The Salesman,,,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",Colleen Atwood,,,,Piper,Sing,La La Land,La La Land,Casey Affleck,Emma Stone,,,,"Robert Legato, Adam Valdez, Andrew R. Jones and Dan Lemmon",,,,,,,,,Manchester by the Sea,,,,,,,,,,Arrival,,,,,Zootopia,Moonlight,Hacksaw Ridge,,,,,,,,,,,,,,"Alessandro Bertolazzi, Giorgio Gregorini and Christopher Nelson",,,La La Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
